Layer,ID,Name,Full Address,City,State,ZIP,County,Type,Status,Phone,Email,DNR / License,Comments
OUT,ST0005037,Anthony's High Tech Auto Center - New Haven,"156 Gando Drive, New Haven, CT, 06513",New Haven,CT,06513,New Haven,Full Service,,2037772260,anthonyshightech2@gmail.com,,7/16/21 - Monica said they are not moving forward if her manager has not replied to us - 81 | 7/16/21 - Monica said they are not moving forward if her manager has not replied to us - 81
OUT,,Aquila Motors,"6 Fountain St, New Haven, CT, 06515",New Haven,CT,06515,New Haven,OBD Plus,,2033876621,aquilamotors@sbcglobal.net,,"on very busy street but not sure if he wants to join, Meinieke 1 mi away, has 6 bays (1 w/no lift), large pkg lot appears full but can dedicate 3 spaces for emissions, waiting room is cluttered and being used for storage, will install monitor | on very busy street but not sure if he wants to join, Meinieke 1 mi away, has 6 bays (1 w/no lift), large pkg lot appears full but can dedicate 3 spaces for emissions, waiting room is cluttered and being used for storage, will install monitor"
OUT,ST0000412,Arnolds Garage,"2 North Elm Street, North Canaan, CT, 06018",North Canaan,CT,06018,Litchfield,Full Service,,8608245802,arnoldstow@comcast.net,,"6/3/22 - stopped doing emissions, owner retired | 6/3/22 - stopped doing emissions, owner retired"
OUT,,Auto Medics,"207B East St, Stafford Springs, CT, 06076",Stafford Springs,CT,06076,,OBD Plus,,8606840841,automedics@gmail.com,,"2 bays w/llifts, prefers not to have to dedicate a bay, waiting area is small but clean, 3 parking spaces, no other stations close by | 2 bays w/llifts, prefers not to have to dedicate a bay, waiting area is small but clean, 3 parking spaces, no other stations close by"
OUT,,Auto Parts Mart Inc,"1551 Barnum Avenue, Bridgeport, CT, 06610",Bridgeport,CT,06610,Fairfield,,,2033334471,,R6468,not interested | not interested
OUT,,Auto Technic,"6 Danbury Rd, New Milford, CT",New Milford,CT,,,,,,jeff@autotechnic.net,,5/28/21 - Called these guys today and emailed them the CTVIP PDF. 6/1 - no waiting area? | 5/28/21 - Called these guys today and emailed them the CTVIP PDF. 6/1 - no waiting area?
OUT,,Auto Wize LLC,"825 John Fitch Blvd, South Windsor, CT, 06094",South Windsor,CT,06094,,,,(860) 528-1250,,,
OUT,,AutoBahn,"56 Magee Avenue, Stamford, CT, 06902",Stamford,CT,06902,,,,(203) 325-4988,,,satisfied w/current clientele | satisfied w/current clientele
OUT,,Automaster LLC,"1217 Queen Street, Southington, CT, 06489",Southington,CT,06489,,,,(860) 793-0503,,,only wants their Waterbury location to do emissions | only wants their Waterbury location to do emissions
OUT,CTVIN8127,Automotive Plus,"534 Broad Street, Bristol, CT, 06010",Bristol,CT,06010,Hartford,VIN Only,,8605855668,,,
OUT,CTVIN7548,Axelrod Tire,"1611 Portland Cobalt Rd, Portland, CT, 06480",Portland,CT,06480,Middlesex,VIN Ver,,8603422550,axelrodtire2550@gmail.com,,"RCV'D EMAIL 10/25, 11/3 - claims he rec'd confirmation he signed but we did not. Assuming he registered only so we asked him to do again, resent email, 11/18 - asked them again to provide copy of signed agreement or the confirmation email they received | RCV'D EMAIL 10/25, 11/3 - claims he rec'd confirmation he signed but we did not. Assuming he registered only so we asked him to do again, resent email, 11/18 - asked them again to provide copy of signed agreement or the confirmation email they received"
OUT,replaced ST0005038 but never tested,Group 7 dba NE Auto World,"208 Seymour Avenue, Derby, CT, 06418",Derby,CT,06418,New Haven,OBD Plus,,(203) 951-6000 Service Manager (203) 770-5914,john@group7auto.com,,5/18/23 - Jack spoke with Debbie & John and advised they must be up and running by June 9 or we will retrieve the unit | 5/18/23 - Jack spoke with Debbie & John and advised they must be up and running by June 9 or we will retrieve the unit
OUT,,BABO Inc,"244 Farmington Ave, Farmington, CT, 06032",Farmington,CT,06032,,,,(860) 677-2669,,,
OUT,ST0003943,Bahr Auto Repair,"1065 South Main Street, Torrington, CT, 06790",Torrington,CT,06790,Litchfield,Full Service,,8604896077,kimbahr@gmail.com,,Closing for 5 weeks vacation this winter. Advised ok as long as they let us know in writing and post the closing at site. | Closing for 5 weeks vacation this winter. Advised ok as long as they let us know in writing and post the closing at site.
OUT,ST0005061,Bedell Transmission LLC,"147 Mad River Road, Wolcott, CT, 06716",Wolcott,CT,06716,New Haven,OBD Plus,,2034414574,bedelltransmissions@gmail.com,,"waiting area is small but clean, no marked parking or emissions signage, bathroom is DISGUSTING!! | waiting area is small but clean, no marked parking or emissions signage, bathroom is DISGUSTING!!"
OUT,ST0002330,Belltown Motors,"80 East High Street, East Hampton, CT, 06424",East Hampton,CT,06424,Middlesex,Full Service,,(860) 267-7222,mechanical@belltownmotors.com: owen@belltownmotors.com,,6/3/23 - email resent 6/4 - Tom had deaths in family. Try calling next wk 6/9 - not concerned about the deadline and wouldn’t mind if someone took his spot | 6/3/23 - email resent 6/4 - Tom had deaths in family. Try calling next wk 6/9 - not concerned about the deadline and wouldn’t mind if someone took his spot
OUT,ST0003739,Bennett Motor Werks,"108 Torrington Road, Litchfield, CT, 06759",Litchfield,CT,06759,Litchfield,OBD Plus,,8605679290,bbnntt87@gmail.com,,"3/18/24 - received letter of withdrawal, claims technician shortage and a demand for repair services | 3/18/24 - received letter of withdrawal, claims technician shortage and a demand for repair services"
OUT,,BIM Auto,"223 Whalley Ave, New Haven, CT, 06511",New Haven,CT,06511,,,,,lababi110@hotmail.com,,"prefers to keep lifts but has 1 long bay w/out lift which could be their test bay, bath is clean but could use fresh paint, will add furniture to wait area, can dedicate 3 spaces but will have to clear them out, shop across the st but states it is constantly down | prefers to keep lifts but has 1 long bay w/out lift which could be their test bay, bath is clean but could use fresh paint, will add furniture to wait area, can dedicate 3 spaces but will have to clear them out, shop across the st but states it is constantly down"
OUT,,Bishop's Auto Sales & Service,"131 Berlin Rd, Cromwell, CT, 06416",Cromwell,CT,06416,Middlesex,,,86063450802,,,"possible replacement for Cromwell Automotive - cold call 8/1 - Lizz left voicemail with callback info 8/13/24 - Lizz called again, if no response by Friday 8/16 they are out | possible replacement for Cromwell Automotive - cold call 8/1 - Lizz left voicemail with callback info 8/13/24 - Lizz called again, if no response by Friday 8/16 they are out"
OUT,,Bobby Gs,"61 South Main Street, Windsor locks, CT, 06096",Windsor locks,CT,06096,,VIN Only,,8606239988,,,
OUT,ST0000648,Bolton Motors Inc,"99 New Bolton Rd, Bolton, CT, 06043",Bolton,CT,06043,Tolland,OBD Plus,,8606439521,ed@boltonmotors.net,,
OUT,ST0003449 - fire destroyed building,Boston Ave Auto Getty,"375 Boston Avenue, Bridgeport, CT, 06610",Bridgeport,CT,06610,Fairfield,Full Service,,(203) 367-6006 owners cell (203) 993-4590,harrygil2848@gmail.com,,5/24/24 - provided updated sta info | 5/24/24 - provided updated sta info
OUT,ST0006025,Botticello Auto Repair,"210 South Street, West Hartford, CT, 06110",West Hartford,CT,06110,Hartford,Full Service,,(860) 953-5622,layla6814@hotmail.com,,
OUT,ST0006000,Branigan's Car Care Center,"230 Pershing Drive, Ansonia, CT, 06401",Ansonia,CT,06401,New Haven,OBD Plus,,(203) 751-9488 or cell (203) 727-6551,braniganscarcarecenter@gmail.com,,4/1/23 - voluntarily withdrew | 4/1/23 - voluntarily withdrew
OUT,,Briarwood Auto Service LLC,"2596 East Main Street, Bridgeport, CT, 06610",Bridgeport,CT,06610,Fairfield,U7985,,(203) 333-9241,,,disconnected | disconnected
OUT,,Bridge Garage Inc,"558 Riverside Ave, Westport, CT, 06880",Westport,CT,06880,Fairfield,,,(203) 227-5322,,R5488,not interested | not interested
OUT,,Brookfield Auto Care,"83 Federal Road, Brookfield, CT, 06804",Brookfield,CT,06804,Fairfield,OBD Plus,No DNR,(203)-885-0797,,None,3/22/24 - Brookfield Auto Care is still interested in getting in but they are in a middle of gas tank replacements and will not be ready until the middle of May. DD took pictures for us to have and he will return to see the progress. There is no need to send DMV at this point until we are sure they will be approved | 3/22/24 - Brookfield Auto Care is still interested in getting in but they are in a middle of gas tank replacements and will not be ready until the middle of May. DD took pictures for us to have and he will return to see the progress. There is no need to send DMV at this point until we are sure they will be approved
OUT,CTVIN6716,Brookview Heavy Equipment Repair LLC,"124 Day Street, Seymour, CT, 06483",Seymour,CT,06483,New Haven,VIN Ver,,2035099227,brookview42@sbcglobal.net,,"does vehicles over 18,000 lbs and opacity tests only 10/26 - resent email 11/3 - left message 11/4 - Gage walked him through the sign on process 11/18 - Steve claims he will sign | does vehicles over 18,000 lbs and opacity tests only 10/26 - resent email 11/3 - left message 11/4 - Gage walked him through the sign on process 11/18 - Steve claims he will sign"
OUT,ST0005001,Bundy Motors,"7 Industrial Park Road West, Tolland, CT, 06084",Tolland,CT,06084,Tolland,Full Service,,8608727800,will@bundyauto.com,,"on the fence about continuing as they only do about 40 per month, was extremely rude and wanted to know what the stations are going to be paid to do the test, because it hasn’t changed in so long, and said that the pricing of all the consumables is way out of line and if this contract is similar to the Applus contract they won’t be rejoining the program. First he said he reviewed the contract but couldn’t find pricing, then he said he never got the email or saw the contract. 5/27/21 - claims the $1.50 increaase is not enough and they should get more $ for doing the testing | on the fence about continuing as they only do about 40 per month, was extremely rude and wanted to know what the stations are going to be paid to do the test, because it hasn’t changed in so long, and said that the pricing of all the consumables is way out of line and if this contract is similar to the Applus contract they won’t be rejoining the program. First he said he reviewed the contract but couldn’t find pricing, then he said he never got the email or saw the contract. 5/27/21 - claims the $1.50 increaase is not enough and they should get more $ for doing the testing"
OUT,ST0006032,Cameron's Automotive LLC,"245 East Barber Street, Windsor, CT, 06095",Windsor,CT,06095,Hartford,Full Service,,(860) 524-8228,sal@senacompanies.com,,
OUT,ST0003106,Campbell Motor Sales Inc,"175 Campbell Avenue, West Haven, CT, 06516",West Haven,CT,06516,New Haven,OBD Plus,,2039322253,,,"3/26/21 - piles of rocks on property, toilet needs cleaning | 3/26/21 - piles of rocks on property, toilet needs cleaning"
OUT,CTVIN5627,Campers Inn 184 INC,"2 Mashapang Road, Union, CT, 06076",Union,CT,06076,Tolland,VIN Only,,8608519133,svelez@campersinn.com,,
OUT,no longer interested,Candlewood Lake Station,"330 Candlewood Lake Road, Brookfield, CT, 06804",Brookfield,CT,06804,Fairfield,OBD Plus,,(203) 775-2288,,,3/22/24 - DD did site visit and it is now Lakeville Towing. They have NO interest in getting into the program. | 3/22/24 - DD did site visit and it is now Lakeville Towing. They have NO interest in getting into the program.
OUT,,Capitol Garage Inc (Chyrsler/Dodge/jeep),"1520 West Main Street, Willimantic, CT, 06226",Willimantic,CT,06226,,,,(860) 423-4516,,,
OUT,,Cardinale Auto Repair Inc,"16 Chestnut Street, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,,,,,,
OUT,,Cardone & Daughter Automotive,"4 Custom Drive, Old Saybrook, CT, 06475",Old Saybrook,CT,06475,Middlesex,,,(860) 664-0727,,U8361,not interested | not interested
OUT,ST0000020,Cargill Chevrolet Co Inc,"23 Livery Street, Putnam, CT, 06260",Putnam,CT,06260,Windham,Full Service,,8609286591,nckm50@gmail.com,,voluntarily withdrew from program - unit to be picked up 7/11/23 | voluntarily withdrew from program - unit to be picked up 7/11/23
OUT,ST0006015 - decertified,Castrol Premium Lube Express dba DKC Auto Svc,"253 Kennedy Drive, Putnam, CT, 06260",Putnam,CT,06260,Windham,Full Service,,(860) 928-5100 (main/cell) 508-509-0733,coreycaissie7791@gmail.com; dkcauto.aol.com,,"2/23/24 - notified of intent to decertify due to denial of DMV audit and other issues, 2/28 - unit retrieved | 2/23/24 - notified of intent to decertify due to denial of DMV audit and other issues, 2/28 - unit retrieved"
OUT,CTVIN7012,Ceglarz Motor Repair and Sales LLC,"581 West Main Street, New Britain, CT, 06053",New Britain,CT,06053,Hartford,VIN Ver,,8602243532,ceglarzmotors@gmail.com,,11/19/21 - closed 12-1 prefers afternoon 11/21/21 - opted out of program | 11/19/21 - closed 12-1 prefers afternoon 11/21/21 - opted out of program
OUT,,Central Auto Transport,"195 Maxim Road, Hartford, CT, 06114",Hartford,CT,06114,,,,(860) 246-7616,,,5/25/21 - Spoke w/Ron | 5/25/21 - Spoke w/Ron
OUT,,Champagne Chevrolet,"106 Storrs Road, Willimantic, CT, 06226",Willimantic,CT,06226,,,,(860) 456-0008,,,
OUT,,Charles Toyota,"500 West Thames St, Norwich, CT, 06360",Norwich,CT,06360,,,,(860) 448-0050,,,
OUT,ST0006017 - see notes ?,Chuck's Automotive,"653 Burnside Ave, East Hartford, CT, 06108",East Hartford,CT,06108,Hartford,U6874,,(860) 289-0081,chucksauto653@gmail.com,,"8/14/24 - added to VID, sent info on signing the contract, mgr claims hes been busy and will need time to review program requirements 8/29/24 - emailed asking for update on status (no response) 9/6/24 - sent another email asking for status (no response) 9/10/24 - advised via email we are removing from list due to them showing no interest | 8/14/24 - added to VID, sent info on signing the contract, mgr claims hes been busy and will need time to review program requirements 8/29/24 - emailed asking for update on status (no response) 9/6/24 - sent another email asking for status (no response) 9/10/24 - advised via email we are removing from list due to them showing no interest"
OUT,CTVIN8078,County Automotive Repair,"69 East Street, Bethlehem, CT, 06751",Bethlehem,CT,06751,Litchfield,VIN Only,,2032667678,,,"phone invalid, Google shows site as closed, OOB? | phone invalid, Google shows site as closed, OOB?"
OUT,,Cox Service Station,"200 Main Street, East Hartford, CT, 06178",East Hartford,CT,06178,,,,(860) 982-8092,,,
OUT,ST0003253,Crest Lincoln,"185 Amity Road, Woodbridge, CT, 06525",Woodbridge,CT,06525,New Haven,Test and Repair,,2033897110,,,"4/13/21 - DMV advises location submitted a letter wishing to leave the program on April 15, 2021 | 4/13/21 - DMV advises location submitted a letter wishing to leave the program on April 15, 2021"
OUT,ST0002060,Cromwell Automotive,"263 Main Street, Cromwell, CT, 06416",Cromwell,CT,06416,Middlesex,OBD Plus,,8606132355,fatal2@snet.net,,"5/14/24 - received email stating withdrawing as testing is no longer part of their business model, per Jack made inactive and we will retrieve our equipment asap | 5/14/24 - received email stating withdrawing as testing is no longer part of their business model, per Jack made inactive and we will retrieve our equipment asap"
OUT,,Cross Auto and Tire - OOB,"708 Silas Deane Hwy., Wethersfield, CT, 06109",Wethersfield,CT,06109,,,,(860) 529 5743,,,"OOB, site is permanently closed per Carol | OOB, site is permanently closed per Carol"
OUT,,CT Auto Repair Services,"37 Danbury Road, New Milford, CT, 06776",New Milford,CT,06776,Litchfield,OBD Plus,,(860) 350-5947 (860) 354-4461,connauto@sbcglobal.net,U7071,"on busy road and 1 mi from another test site, waiting rom window lift in bay, not open Saturdays | on busy road and 1 mi from another test site, waiting rom window lift in bay, not open Saturdays"
OUT,,Danbury Autowerks,"2 East Hayestown Road, Danbury, CT, 06811",Danbury,CT,06811,Fairfield,,,,,,
OUT,,CT Auto Repairer LLC,"115 Newfield Ave, Hartford, CT, 06106",Hartford,CT,06106,,,,(860) 953-8811,,,"phone disconnected, out of business? | phone disconnected, out of business?"
OUT,ST0005022 - withdrew,Danbury Auto Group,"33 Rose Street, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,OBD Plus,,2037926954,danburyautogroup@outlook.com,,"parking area concerns 12/18 - DMV advises sign on door no longer doing emissions, G tried numerous times to contact and played phone tag | parking area concerns 12/18 - DMV advises sign on door no longer doing emissions, G tried numerous times to contact and played phone tag"
OUT,ST0004191,Darien Auto Center,"1350 Post Road, Darien, CT, 06820",Darien,CT,06820,Fairfield,OBD Plus,,2036558203,darienauto1@optonline.net; rgould333@gmail.com,,"1/16/24 - per Bob Gould they have lost their lease and will be withdrawing as of Jan 26. Will try to retrieve unit Friday, Jan 26 | 1/16/24 - per Bob Gould they have lost their lease and will be withdrawing as of Jan 26. Will try to retrieve unit Friday, Jan 26"
OUT,,"Dash Cars of CT, LLC.","750 Bridgeport Ave, Milford, CT, 06460",Milford,CT,06460,New Haven,Full Service,No DNR,2036642888,MRICCELLI23@GMAIL.COM,U8916,12/27/21 - inquired via website | 12/27/21 - inquired via website
OUT,,DePalma's Garage,"750 Orange Avenue, West Haven, CT, 06516",West Haven,CT,06516,,,,(203) 933-6991,,,no space | no space
OUT,not interested,Di Bona Auto Center,"656 Woodtick Rd, Wolcott, CT, 06716",Wolcott,CT,06716,New Haven,,,2038796267,,,8/27/24 - Lizz contacted as cold call and they declined as they are a body shop only | 8/27/24 - Lizz contacted as cold call and they declined as they are a body shop only
OUT,,Di Giovanni's Auto Services,"448 Park St, Bristol, CT, 06010",Bristol,CT,06010,,,,8605840832,,,7/30/24 - contacted but no longer interested in participating | 7/30/24 - contacted but no longer interested in participating
OUT,,DKC Auto Service,"960 Norwich Road, Plainfield, CT, 06374",Plainfield,CT,06374,,OBD Plus,,8603171152,dkcauto@aol.com,,"2 miles from J&H Auto Repair, nice clean, large waiting area, no lift in bay, functional monitor | 2 miles from J&H Auto Repair, nice clean, large waiting area, no lift in bay, functional monitor"
OUT,DMV did not approve site,DMR Offroad LLC,"259 W High St, East Hampton, CT, 06424",East Hampton,CT,06424,Middlesex,OBD/Full Service,,(860) 365-5323 (860) 269-4035,service@dmrautomotive.com; dmroffroad@gmail.com,U8560,"1/25/23 - inquired via website, advised we will contact when spot is available for emissions and also how to become CERF in the interim Aug 2023 - we did a site visit which went well | 1/25/23 - inquired via website, advised we will contact when spot is available for emissions and also how to become CERF in the interim Aug 2023 - we did a site visit which went well"
OUT,ST0002884,Don Schiffers Auto Service Inc,"7050 Main Street, Stratford, CT, 06497",Stratford,CT,06497,Fairfield,OBD Plus,,2033819234,donsautoservice@optonline.net,,person buying the place is suppose to remodel | person buying the place is suppose to remodel
OUT,ST0003192,Dougan Automotive LLC,"2260 State Street, Hamden, CT, 06517",Hamden,CT,06517,New Haven,Full Service,,2038656336,douganauto@gmail.com,,4/18/23 - requesting we pick up our equipment 4/26 | 4/18/23 - requesting we pick up our equipment 4/26
OUT,,Duddie Automotive,"1030 Broad Street, Meriden, CT, 06450",Meriden,CT,06450,New Haven,,,(203) 440-1260,,U7930,not interested | not interested
OUT,,E Hartford Advance - out of business,"91 Pitkin St, East Hartford, CT, 06108",East Hartford,CT,06108,Hartford,Full Service,,8602160608,jefflafleur20@comcast.net,R7660,5/8/24 - OOB? Site now under Empire Auto Sales | 5/8/24 - OOB? Site now under Empire Auto Sales
OUT,,East Coast Auto Sales,"79 Federal Road, Danbury, CT, 06811",Danbury,CT,06811,Fairfield,,,(203) 648-7257,,,9/1/21 - used car lot is full | 9/1/21 - used car lot is full
OUT,ST0002651,East Coast Car Care,"52A Donovan Rd, Oxford, CT, 06478",Oxford,CT,06478,New Haven,OBD Plus,,2038884056,eastcoast4056@gmail.com,,
OUT,ST0005076,East Killingly Autocare LLC,"1260 Hartford Pike, East Killingly, CT, 06243",East Killingly,CT,06243,Windham,OBD Plus,,8604129127,eastkillinglyautocare@gmail.com,,7/13/22 - unit moved to new bay without prior approval then 7/14/22 we received notification they were withdrawing from program | 7/13/22 - unit moved to new bay without prior approval then 7/14/22 we received notification they were withdrawing from program
OUT,,Eastern Wholesalers LLC,"66 Route 32, Franklin, CT, 06254",Franklin,CT,06254,New London,,No DNR,(860) 886-7122,,U7249,
OUT,,EIN Gedi Spring,"3617 Black Rock Tpke, Fairfield, CT, 06825",Fairfield,CT,06825,,OBD Plus,,2032543555,albert@eingedispring.com,,"nice, new, clean facility w/plenty of parking & comfy furniture in wait area | nice, new, clean facility w/plenty of parking & comfy furniture in wait area"
OUT,ST0006006,Empire Auto,"120 Park Street, Hartford, CT, 06106",Hartford,CT,06106,Hartford,Full Service,,(860) 242-2094,empireautoworld@yahoo.com,R7604,"12/4/23 - Audit tech discovered unit powered down as they are in process of moving to 91 Pitkin St, E Hartford. Tech will be onsite Wed 12/6/2023, @ 10:00 to pick up the CDAS, bay camera and any signage they may have. Once they move and the site evaluation is done, they will need a new station number. | 12/4/23 - Audit tech discovered unit powered down as they are in process of moving to 91 Pitkin St, E Hartford. Tech will be onsite Wed 12/6/2023, @ 10:00 to pick up the CDAS, bay camera and any signage they may have. Once they move and the site evaluation is done, they will need a new station number."
OUT,ST0006005,EZ Automotive,"643 North Ave, Bridgeport, CT, 06606",Bridgeport,CT,06606,,OBD Plus,,2033345230,ezautomotivellc@sbcglobal.net,,"near main road, 4 bays 1 without lift, large waiting area, clean bath will install monitor, worried about walk ins | near main road, 4 bays 1 without lift, large waiting area, clean bath will install monitor, worried about walk ins"
OUT,ST0005089,Fausto's Auto Body & Repairs,"12 Bridge Street, New Milford, CT, 06776",New Milford,CT,06776,Litchfield,OBD Plus,,8607174433,faustosautobody17@gmail.com,,"5/27/21 lobby under constuction and wants to wait to sign, he will advise 6/3 - if he wants to participate he needs to sign now. If he doesn’t we are giving his spot to someone else. 6/4 - not ready to come on board | 5/27/21 lobby under constuction and wants to wait to sign, he will advise 6/3 - if he wants to participate he needs to sign now. If he doesn’t we are giving his spot to someone else. 6/4 - not ready to come on board"
OUT,ST0004107,Federal Towing and Car Center,"272 White Street, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,Full Service,,2037949475,michael@federaltowing.com,,"10/5/23 - received email asking about relocating their station. Jack replied - will need to get permission from both Opus and DMV. We will do a site evaluation – full visit, photos, report card etc. DMV will also visit the new site. If both OK the station can change locations BUT under no circumstances can the station move our analyzer to a new location | 10/5/23 - received email asking about relocating their station. Jack replied - will need to get permission from both Opus and DMV. We will do a site evaluation – full visit, photos, report card etc. DMV will also visit the new site. If both OK the station can change locations BUT under no circumstances can the station move our analyzer to a new location"
OUT,ST0002070,Firestone - Cromwell,"136 Berlin Road, Cromwell, CT, 06416",Cromwell,CT,06416,Middlesex,OBD Plus,unit moved to Newington,8606356355,firestone6629@gmail.com,,
OUT,ST0004615,Firestone - Wallingford,"1262 South Broad Street, Wallingford, CT, 06492",Wallingford,CT,06492,New Haven,OBD Plus,unit moved to Southington,2032378999,bbeaudoin@bfrc.com,,4/25/22 - Bob Beaudoin has asked if we can transfer the CDAS currently in Firestone Wallingford ST0004615 to the Firestone in Southington. Southington is not set up as a station yet so Geoff will handle site evaluation then they can sign the contract | 4/25/22 - Bob Beaudoin has asked if we can transfer the CDAS currently in Firestone Wallingford ST0004615 to the Firestone in Southington. Southington is not set up as a station yet so Geoff will handle site evaluation then they can sign the contract
OUT,,Full Speed Garage,"575 Wauregan Rd, Danielson, CT, 06239",Danielson,CT,06239,Windham,OBD Plus,,8604129059,fullspeedgarage2018@gmail.com,,Gage - cold call 5/27/21- pics but no info | Gage - cold call 5/27/21- pics but no info
OUT,U1414 - no longer interested,Furness Brothers,"61 Buckley Highway, Stafford Springs, CT, 06084",Stafford Springs,CT,06084,Hartford,OBD Plus,,(860) 684-4219 (cell) (860) 250-4286,fdimrtruck@outlook.com,,"currently a VIN sta, DD Opus site visit and will report back Wed 3/20/24 | currently a VIN sta, DD Opus site visit and will report back Wed 3/20/24"
OUT,CTVIN0290,Gervais Bros Inc,"166 Whiting Street, Guilford, CT, 06062",Guilford,CT,06062,New Haven,VIN Only,,8607471659,gervais3442@sbcglobal.net,,"10/29 - received withdrawal request, wants to return equipment due to it never works but calls rarely opened 11/5 - D to schedule pickup 11/20- unit retrieved | 10/29 - received withdrawal request, wants to return equipment due to it never works but calls rarely opened 11/5 - D to schedule pickup 11/20- unit retrieved"
OUT,ST0006002,Goodyear Auto Service,"19 Town Street, Norwich, CT, 06360",Norwich,CT,06360,New London,Full Service,,(860) 886-1905,gsr0640@goodyear.com,,
OUT,ST0006012,Grand Prix Motors Inc,"90 Federal Road, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,OBD Plus,,2037433737,gpmsales@comcast.net,,Mark Goncalves | Mark Goncalves
OUT,ST0005090,Grand Prix Motors Inc,"90 Federal Road, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,OBD Plus,withdrew before signing contract,2037433737,gpmsales@comcast.net,,
OUT,,Halls Garage,"37 Hall Rd, West Cornwall, CT, 06796",West Cornwall,CT,06796,Litchfield,,,8606726289,hallsgarage@att.net,,"per Ray - cold call, site would be a good replacement for Litchfield Motor Sports 8/1/24 - Lizz contacted and they requested we email information 8/13 - Lizz called but no answer or voicemail so she did a follow up email | per Ray - cold call, site would be a good replacement for Litchfield Motor Sports 8/1/24 - Lizz contacted and they requested we email information 8/13 - Lizz called but no answer or voicemail so she did a follow up email"
OUT,ST0000386,Hamelin and Sons Inc,"64 West Street, Bristol, CT, 06010",Bristol,CT,06010,Hartford,OBD Plus,,8605833292,hamelinandsons@gmail.com,,"voluntarily withdrawal, unit picked up 9/21/23 | voluntarily withdrawal, unit picked up 9/21/23"
OUT,ST0005086,Hammonasset Ford,"191 Boston Post Road, Madison, CT, 06443",Madison,CT,06443,New Haven,OBD Plus,,2032458828,,,"6/21/21 - per DMV - having second thoughts about getting into the program. We've trained three people, and the equipment is there but not set up. I'll give them until sometime in July; if not, we'll get the equipment and return their deposit | 6/21/21 - per DMV - having second thoughts about getting into the program. We've trained three people, and the equipment is there but not set up. I'll give them until sometime in July; if not, we'll get the equipment and return their deposit"
OUT,ST0006023,Hampton Hill Garage LLC,"407 Hartford Tpk, Hampton, CT, 06247",Hampton,CT,06247,,,,(860) 455-9233,,,limited bay area | limited bay area
