Signed Contract,Updated Staffing Plan,Bay Door,Date of Install,Unit #,Test Center ID,Station Name,Address,City,Zip,County,Phone,Type,Dealer #,Primary Email,Secondary Email,Station Contact,Opus Comments,Follow Up Comments,Station Comments/Complaints
Y,,,,CT2100100,ST0001253,Midas of West Hartford,918 New Britain Avenue,West Hartford,06110,Hartford,(860) 953-0171,OBD Plus,R6558,midaswesthartford@gmail.com,westhartford.midas@fonseca-group.com,Juan Castro - Sta Mgr    Sonia Lorenzo - Asst Mgr,"9/10/24 - new ownership application received, no DNR license ",10/1/24 - DMV verified change of officers and ok to reinstate.  Eventually the current partnership will dissolve and new DNR license will be obtained,
Y,3/10/2026,10',,CT2100033,ST0001267,Mirabelli Automotive LLC,1816 Berlin Turnpike,Wethersfield,06109,Hartford,(860) 563-3445,Full Service,,vincec@mirabelliautomotive.com,johnd@mirabelliautomotive.com,Vincent Cocolla - Svc Mgr (860) 953-5029,limited parking,,
Y,3/4/2026,12',,CT2100101,ST0001284,Modern Tire and Auto Service,3455 Berlin Turnpike,Newington,06111,Hartford,(860) 666-2404,OBD Plus,,newington@moderntirect.com,mtireinc@netscape.net,Joseph Fiumara - Sta Mgr      Robert Amenta - owner,excessive cars in lot and emissions spots,,
Y,3/4/2026,12',,CT2100090,ST0001294,Modern Tire and Auto Service,898 Farmington Ave,Farmington,06032,Hartford,(860) 677-5454,OBD Plus,,farmington@moderntirect.com,mtireinc@netscape.net,Brian Holland - Sta Mgr,12/22/25 - unit moved to new bay  12/31/25 - passed DMV ATP,,
Y,,10',,CT2100039,ST0001299,B and S Automotive Inc,127 Meadow Street,Hartford,06114,Hartford,(860) 296-9290,OBD Plus,,bucc79@aol.com,,Frank Buccheri - owner,,,
Y,3/9/2026,10',,CT2100013,ST0001401,Nutmeg Auto Service Inc,3490 Main Street,Hartford,06120,Hartford,(860) 522-8724,OBD Plus,,gladue860@gmail.com,,Jay Johnson - Sta Mgr,"older garage, dated, dirty",,
Y,,,,CT2100041,ST0001423,Midas of Hartford,65 Weston Street,Hartford,06120,Hartford,(860) 246-4828,OBD Plus,,midasnorthhartford@gmail.com,,Juan Castro - Mgr                        Aaron Berube - Asst Mgr,,,
Y,,"9' 4""",,CT2100045,ST0001511,T and B Motor Sales and Service Inc,460 Storrs Road,Mansfield,06250,Tolland,(860) 423-1187,Full Service,,alex@tandbmotors.com,deanna@tandbmotors.com,Alex Sanchez - Towing Mgr,,,
1615,,12',,CT2100153,ST0001615,Firestone - New London,45 Truman Street,New London,06320,New London,(860) 443-4361,OBD Plus,R6369,young524.jy@gmail.com; robertsjennifer@bfusa.com,szimmerman@bfrc.com,Jon Young - Sta Mgr,,,
Y,3/26/2026,,,CT2100056,ST0001660,Midas Auto Service,170 Route 12,Groton,06340,New London,(860) 445-8129,OBD Plus,,midasgroton@gmail.com,,Candi Smith - Mgr,,,
Y,6/25/2026,14',,CT2100062,ST0001662,Meineke - Groton,266 Bridge Street,Groton,06340,New London,(860) 445-6743,OBD Plus,,dwick15490@aol.com,,Mark Winslow - owner             Larry Gormick - Mgr,,,
y,,10',,CT2100155,ST0001767,Firestone - Norwich,251 West Main Street,Norwich,06360,New London,(860) 889-9897,OBD Plus,R6391,dawnkutz@aol.com; dcalderon3091@yahoo.com; robertsjennifer@bfusa.com,szimmerman@bfrc.com,Daniel Caleron - Sta Mgr                Dawn Kutz - inspector,,,
Y - under served,6/15/2026,10',,CT2100237,ST0001799,All Pro Automotive,147 Boston Post Road,Old Lyme,06371,New London,(860) 434-2265,Full Service,,aptolct@aol.com,,Jeff Graybill - Mgr,,,
Y - under served,2/4/2026,,,CT2100 173,ST0001825,Pennells Auto Center LLC,341 Norwich New London Tpke,Uncasville,06382,New London,(860) 848-2400,OBD Plus,,pennellsauto@gmail.com,,Joe Pennell - owner,,,
Y,4/16/2026,"9' 6""",,CT2100051,ST0001944,Branford Auto Center,323 East Main Street,Branford,06405,New Haven,(203) 481-6572,Full Service,,a477815@aol.com,,Alphonse Paolillo - Sta Mgr/owner,"no masks upon arrival, test viewable only thru door (windows and posters on both) bathrrom sink inop,no soap, no papertowels, no station sign outside",,
Y,3/17/2026,10',,CT2100208,ST0001970,Modern Tire And Auto Service,514 West Main Street,Cheshire,06410,New Haven,(203) 272-3296,OBD Plus,,cheshire@moderntirect.com,mtireinc@netscape.net,Eric Bonaiuto -Team Lead,"9/22/21 - the building and/or property is having some construction done and van cannot access garage today, delivery to be rescheduled",,
Y,7/14/2026,,,CT2100032,ST0002018,D and R Automotive LLC,32 Nod Place,Clinton,06413,Middlesex,(860) 669-1075,Full Service,,shellanepc@sbcglobal.net,,Clifford Gasparini - owner,"limited parking, wait area dirty, restroom dirty",,
Y - under served,2/4/2026,10',,CT2100195,ST0002026,Desmonds Auto Sales,373 Lebanon Avenue,Colchester,06415,New London,(860) 537-1140,OBD Plus,,mike@desmondsauto.com,,Bill Desmond - owner,restroom could be cleaner,,
Y,2/5/2026,9',,CT2100225,ST0002133,Firestone - Fairfield,750 Kings Highway,Fairfield,06430,Fairfield,(203) 916-6319,OBD Plus,,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Joseph McNary - Sta Mgr,7/10/21 - thinking about moving bay so we did not put up a camera there. Asked station to let us know by August so we can install camera,"  8/4/21 - Have started the approval process with Applus, has yet to contact the DMV  8/18/21 - Gage to visit Friday 8/19  to ensure the new location is ok - no lift in bay and monitor is functional  8/20/21 - new report card submitted",8/17/21 - DMV advised via email - we gave a preliminary approval but did not want to give a final answer until they contacted Opus
Y,3/24/2026,9',,CT2100132,ST0002141,Fairfield Tire and Auto Center LLC,1370 Kings Hwy Cut-off,Fairfield,06824,Fairfield,(203) 255-5931,OBD Plus,,fairfieldtireandauto@gmail.com,,Adam Docimo - Facility Mgr,,,
Y,2/4/2026,10',,CT2100224,ST0002149,Meineke - Fairfield,94 Kings Highway East,Fairfield,06825,Fairfield,(203) 864-6082,OBD Plus,R4923,fairfieldmeineke@gmail.com,,Ross Hiltz,"small lot filled with cars, limited parking",,
Y,3/10/2026,,,CT2100025,ST0002233,Cos Central Auto,1652 North Broad Street,Meriden,06450,New Haven,(860) 388-0075,Full Service,,coscentralauto@yahoo.com,cwill26131@aol.com,Christopher Lippitt,,,
Y,,,,CT2100095,ST0002358,Computer Tune and Lube Inc,966 Washington Street,Middletown,06457,Middlesex,(860) 346-1999,OBD Plus,,dan@qtrg.com,tunelube85@sbcglobal.net,Daniel Glyck - Mgr,,,
Y,3/31/2026,"9' 6""",,CT2100099,ST0002365,JAS Muffler Inc dba Midas Auto Service and Tires - Middletown,380 Washington Street,Middletown,06457,Middlesex,(860) 347-9100,OBD Plus,,middmidas@gmail.com,,Ted Theriault - Sta Mgr,5/15/24 - provided updated station information,,
Y,2/4/2026,"9' 10"" but no vehicles over 9'",,CT2100059,ST0002373,Personal Auto Care Service Center Inc,60 Dekoven Drive,Middletown,06457,Middlesex,(860) 347-9845,Full Service,,per60@aol.com,andy796@aol.com,Joe kleczkowski (father)Andrew Kleczkowski (son),5/15/24 - provided updated station information,,
Y,,,,CT2100002,ST0002419,Roberts Service Center Inc,216 Buckingham Avenue,Milford,06460,New Haven,(203) 878-4746,OBD Plus,,s.depalma@comcast.net,robertsservicecenter@gmail.com,Steven DePalma - Sta Mgr,double bay with lift,,
Y,3/12/2026,"9' 6""",,CT2100171,ST0002467,Meineke - Milford,70 Bridgeport Ave,Milford,06460,New Haven,(203) 878-3579,OBD Plus,,meinekemilford@gmail.com,,Dan Armstrong - Sta Mgr,,,
Y,3/10/2026,"9' 6""",,CT2100158,ST0002540,J P Automotive LLC,25 Stiles Lane,North Haven,06473,New Haven,(203) 287-0771,OBD Plus,,john@jpautollc.com,,Mike Steinfeld - Sta Mgr  John or Paul Magliochetti - owners,Have received complaints from other stations they pick and choose which cars they test and/or refer to another site 3/25/21 - not happy with Applus,6/16/21 - per DD customer wants to move his bay so camera was not installed                                                                                                          8/4/21- Customer has received approval from Applus and the DMV to relocate,
Y,,,,CT2100122,ST0002593,Bens Service Center,115 Boston Post Road,Orange,06477,New Haven,(203) 795-9324,Full Service,U9241,ambsc115@gmail.com,,John Moore - Mgr              Andrea Santamauro - owner,10/7/2025 - new DNR issued to wife  2/16/26 - sale postponed,,
Y,,"9' 1"" x 9.5' wide",,CT2100201,ST0002672,AJs Center Service Inc,851 River Road,Shelton,06484,Fairfield,(203) 929-1311,OBD Plus,,ajcsinc@sbcglobal.net,,Adriano Monaco - owner,"10/25/23 - Adriano advised 2nd unit approved, will invoice and call to make arrangements for delivery & set up",11/21/23 - Jack to contact regarding delivery and set up of 2nd unit (refurb),
Y,,10',,CT2100077,ST0002740,Mad Hatter Muffler,176 Queen Street,Southington,06489,Hartford,(860) 628-8888,OBD Plus,,madhatauto@gmail.com,,Jefferey Mayo,,,
Y,6/18/2026,,,CT2100069,"ST0002822 - inactive, only 1 inspector",Frenchys Auto Repair Inc,508 Main Street,Wallingford,06492,New Haven,(203) 265-0889,Full Service,,frenchysautorepair.rj@gmail.com,,Patrick Bushey,"wait area very small, restroom could be cleaner",,
Y,2/4/2026,,,CT2100055,ST0002830,Nelsons Automotive Service Center LLC,40D North Plains Industrial RD,Wallingford,06492,New Haven,(203) 265-3997,OBD Plus,,nelsons@carbuddys.com,petesr@carbuddys.com,Pete Nelson - owner,,,
Y,4/10/2026,,,CT2100121,ST0002880,Broadbridge Auto Service Inc,2607 Broadbridge Avenue,Stratford,06497,Fairfield,(203) 249-2229  (do not give out),OBD Plus,,vwfusco@yahoo.com,,Vincent Fusco - owner,"seating not socially distant, lift in bay (no arms), station needs to be cleaner and more organized",,
Y - under served,3/23/2026,12',,CT2100192,ST0002915,Midas Auto Service and Tires - Westbrook,55 Boston Post Road,Westbrook,06498,Middlesex,(860) 669-9937,OBD Plus,,westbrookmidas@gmail.com,jdziegielewski@comcast.net,Anthony Bianca,,,
Y,3/11/2026,,,CT2100163,ST0002919,Meineke Car Care Center #122,1175 Whalley Avenue,New Haven,06515,New Haven,(203) 397-2353,OBD Plus,,meinekenewhaven@gmail.com,,Patrick - Sta Mgr,limited parking,,
Y,2/5/2026,12',,CT2100181,"ST0002964 - 5/14/26 - advised of sale of business mid-June, new owners need DNR ",Swanson Automotive,434 Short Beach Road,East Haven,06512,New Haven,(203) 469-0593,OBD Plus,,Swansonautomotive434@gmail.com,kirtswanson1975@gmail.com,Kirt Swanson - owner,,,
Y,3/10/2026,14',,CT2100177,ST0003107,Chuck's Garage,52 Hood Terrace,West Haven,06516,New Haven,(203) 932-4336,OBD Plus,,chuckzlm8@aol.com,,Chuck,3/26/21 - no public restroom,,
Y,,"10' 4""",,CT2100116,ST0003432,E and S Automotive Operations LLC,425 Boston Ave,Bridgeport,06610,Fairfield,(203) 367-6006 owners cell (203) 993-4590,OBD Plus,,harrygil2848@gmail.com,hsgill2848@gmail.com,Harbhajan Gill - owner,"lot a mess, only 2 park signs, trash and parts on ground  3/30/21 - no marked pkg for emissions, owns 2 stations next to each other, not doing inspections at this site today   ",5/24/24 - provided updated sta info,
Y,2/4/2026,12',,CT2100216,ST0003437,Monro Muffler Brake - this is not a corporate location,451 Main Street,Monroe,06468,Fairfield,(203) 261-6335,Full Service,,jvig74@yahoo.com,jvig2121@yahoo.com,James Vig,,,
Y,,12',,CT2100223,ST0003458,Knechts Garage Inc,101 Monroe Turnpike,Trumbull,06611,Fairfield,(203) 268-6284,OBD Plus,,knechtsgarage@gmail.com,knechtsgarage1@gmail.com,Donald Knecht - Owner/Mgr,5/19/24 - provided updated sta info,,
Y,3/25/2026,,,CT2100226,ST0003475,Firestone - Bridgeport,300 John Street,Bridgeport,06604,Fairfield,(203) 333-6188,OBD Plus,,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Ryan Gless - Sta Mgr,,monitor is away from wait area - 6/15 - they have moved their monitor back to the waiting area and are in compliance with the contract,
Y,2/4/2026,10',,CT2100200,ST0003483,Breezy Point Auto Repairs Inc,609 Main Street,Stratford,06615,Fairfield,(203) 377-8601,OBD Plus,,breezypointauto@optonline.net,,Gary Koripsky,,,
Y,2/4/2026,9',,CT2100049,ST0003498,Model Garage Inc,110 Thomaston Avenue,Waterbury,06702,New Haven,(203) 574-1882,OBD Plus,,modelgarageinc@gmail.com,,"David Jesensky - Sta Mgr, Kyle",,"a little messy, exterior",
Y,2/5/2026,"11' 6""",,CT2100215,ST0003767,Mezzio Auto Care,792 New Haven RD,Naugatuck,06770,New Haven,(203) 729-5988,OBD Plus,,mario.c@mezzioauto.com,elincolnlewis@gmail.com,Mario Cipriano - Sta Mgr,"site is close to street, waiting room is dirty, 5 miles to another test site    ",6/29 - per DD - they have 20 foot ceilings and the ladder we  have is an old wooden one and was not stable.  we may need to find a ladder big enough to finish the camera installation   8/16 - cust wants to move their test bay.  Gage went out to site and took pics of the location.  forwarding to DMV for approval,
Y - under served,7/13/2026,"8' 8""",,CT2100016,ST0003876,Quiet Zone of Thomaston,100 South Main Street,Thomaston,06787,Litchfield,(860) 283-3005,OBD Plus / CERF,,qzthomaston@gmail.com,howiefish@mac.com,Brian Stewart - Mgr,,,
Y,6/8/2026,9',,CT2100220,ST0003976,Quiet Zone of Watertown,789 Main Street,Watertown,06795,Litchfield,(860) 945-6000,OBD Plus,,qzwatertown@gmail.com,howiefish@mac.com,"Frank Campagna, Jr",,,
Y,3/25/2026,,,CT2100131,ST0003988,Valenti Motors Inc,600 Straits Turnpike,Watertown,06795,Litchfield,(860) 274-8846,OBD Plus,,douellette@valentiauto.com,lthibeault@valentiauto.com,Daniel Ouellette,,,
Y - under served,3/24/2026,,,CT2100242,ST0003997,Murray Bros Garage Inc,19 Bacon Pond Road,Woodbury,06798,Litchfield,(203) 263-4779,OBD Plus,,murraybrothersgarage@gmail.com,mbgfixit@gmail.com,Samuel Whiteley,,,
Y,2/4/2026,12',,CT2100143,ST0004004,Belardinelli Tire Comp,7 Beach Street,Bethel,06801,Fairfield,(203) 748-0889,OBD Plus,,jmatthews@belardinellitire.com,accounting@belardinellitire.com,Jared Matthews - Sta Mgr,5/15/24 - provided updated station information,,
Y,,9',,CT2100180,ST0004016,Firestone - Brookfield,164 Federal Road,Brookfield,06804,Fairfield,(203) 775-1295 or  corp office (860) 613-2901,OBD Plus,,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Marc Veillette - Sta Mgr,,,
Y,2/6/2026,12',,CT2100191,ST0004065,Mohawk West Tire And Auto Center,31 Mill Plain Road,Danbury,06811,Fairfield,(203) 744-1835,OBD Plus,,mohawktireauto@aol.com,altacca2aol.com,Al Tacca - Sta Mgr,5/15/24 - provided updated station information,,
Y,2/26/2026,,,CT2100175,ST0004105,E M Auto Repair LLC,46 Maple Ave,Danbury,06810,Fairfield,(203) 790-5734 or (203) 948-7826,OBD Plus,,em1967@hotmail.com,,Cruz Matos - Sta Mgr Enrique Matos - owner,waiting room and bathroom need to be cleaned,"Oct '23 - inquired about a 2nd unit, needs approval","limited parking, abandoned cars everywhere, wait room and bathroom are not clean"
Y,2/5/2026,,,CT2100241,ST0004243,A C Auto Body and Mechanical Svc Inc,182 Main Street,New Canaan,06840,Fairfield,(203) 966-1818,OBD Plus,,acauto3@aol.com,,Anthony Ceraso,,,limited parking
Y,,"9' 4""",,CT2100172,ST0004257,New Canaan Ave Service,87 New Canaan Avenue,Norwalk,06850,Fairfield,(203) 846-0777,OBD Plus,,newcanaanave87@aol.com,,Obaid Rehman - Sta Mgr,5/16/24 - provided updated sta information,,
Y,2/6/2026,"9' 5""",,CT2100120,ST0004262,The Briggs Tire Co Inc (Firestone),72 Connecticut Avenue,Norwalk,06850,Fairfield,(203) 838-3716,OBD Plus,,jae.magner@gmail.com,,Justin Magner - owner,,,"small parking area, lot hard to get in/out of"
Y,,"9' 8""",,CT2100057,ST0004298,Hank Mays Goodyear,470 Westport Avenue,Norwalk,06851,Fairfield,(203) 846-3277,Full Service,,NORWALK@HANKMAYS.COM,jeannemeder@hankmays.com,Jean Allrich,,,
Y,,,,CT2100234,ST0004377,Limestone Service Station Inc,399 Danbury Road,Ridgefield,06877,Fairfield,(203) 438-8028,Full Service,,limestoneservice@yahoo.com,,J Giardini - owner,,advised we will allow him to relocate the unit to the other bay  8/4 - Customer has received approval from Applus and the DMV to relocate,"parking lo filled with cars, very little customer parking, test bay has items being stored in it, double bay w/lift"
Y,3/25/2026,9',,CT2100170,ST0004480,Firestone - Stamford,892 E Main Street,Stamford,06902,Fairfield,(203) 327-2930,OBD Plus,,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Kristper Escobar - Sta Mgr,,,"limited parking, lot always full"
Y,2/4/2026,10',,CT2100144,ST0004628,Firestone - Milford,1063 Boston Post Road,Milford,06460,New Haven,(203) 878-6859,OBD Plus,,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Brian Papp,,,
Y,3/25/2026,,,CT2100162,ST0004696,Long Ridge Service,1095 Long Ridge Road,Stamford,06903,Fairfield,(203) 322-3900,OBD Plus,,1095lrs@optonline.net,,Charlotte Michaud - Svc Mgr,,,"only 2 park signs, only 1 chair for wait room, no public restroom, monitor not visible from seated position, bay used for repairs and there was a truck on lift, parts on floor, not very friendly, does not like being in the program"
Y,3/25/2026,"8' 6""",,CT2100093,ST0004739,Precision Motor Coach LLC,1281 John Fitch Boulevard,South Windsor,06074,Hartford,(860) 282-1118,OBD Plus,,precisionmotorcoach@gmail.com,,Alan Desrosiers - owner,5/15/24 - provided updated station information,"old timer, has been doing emissions for 18 yrs, waiting room needs attention, no marked parking, lift in bay",staff was upset with DMV agent present and it was shown with their language and attitude
Y,2/4/2026,,,CT2100103,ST0004764,Suburban Subaru,6 Hartford Turnpike,Vernon,06066,Tolland,(860) 649-6550,OBD Plus,,emissions@krausecars.com;,rmanas@krausecars.com; kconnors@krausecars.com,Rick Manas - Svc Mgr            Keith Connors - Asst Svc Mgr,,9/24 - Gage advises customer wants to relocate unit to a new bay.  The lift will be removed and the waiting area will remain the same  10/12 - relocation approved per Don C email,
Y - under served,3/24/2026,14' verified,,CT2100074,ST0004769,Quiet Zone of Bantam,738 Bantam Road,Bantam,06750,Litchfield,(860) 567-3380,Full Service,,quietzonebantam@gmail.com,howiefish@mac.com,Justin Gilbert - Sta Mgr,,,
Y,says it’s a waste of his time,"9' 8""",,CT210196,ST0004788,West High Service Station Inc,355 West Main Street,Stamford,06902,Fairfield,2033240288  (owner cell) 203-979-7225,OBD Plus,,westhighsnow@aol.com,,Don Chiappetta - owner,,,
Y,,,,CT2100179,ST0004817,High Tech Auto,266 Boston Post Road,Orange,06477,New Haven,(203) 799-0888,OBD Plus,,bennyyang@att.net,,Ben Yang - owner,,,"parking can be difficult when busy, overflow of parts in test bay "
Y,3/24/2026,"9' 6""",,CT2100186,ST0004828,Waterbury Tire and Auto,144 Thomaston Avenue,Waterbury,06702,New Haven,(203) 754-0113,OBD Plus,,waterburytire@comcast.net,,"Stephen Crocco - Sta Mgr, Bob Munroe, Svc Mgr",2/29/24 - Steve from the station called and wants to know what is the process he needs to go through to get a second unit in the station,"5/15/24 - provided updated station information - inquired about a 2nd unit, needs approval",
Y,2/9/2026,8',,CT2100211,ST0004837,Car -Tune,1049 Dixwell Avenue,Hamden,06514,New Haven,(203) 776-7774,OBD Plus,,cartune1@hotmail.com,,Mike Trofa - Sta Mgr,"lot filled with cars, no parking, viewing monitor old (hard to view test), several engines in test bay",1/28 - Claims Lee Myles and Meineke don’t like to spend the extra time doing TSI tests so they refer motorists to their shop.  Found both sites had already tested multiple cars in the am and neither had an open service call so there should be no reason to refer elsewhere.,
Y,3/24/2026,"9' 6"" ",,CT2100064,ST0004839,Hank Mays Goodyear,168 Magee Avenue,Stamford,06902,Fairfield,(203) 348-3000,Full Service,,stamford@hankmays.com,jeannemeder@hankmays.com,Richard Campbell,3/30 - restroom needs attention,,
Y,3/25/2026,,,CT2100136,ST0004866,Lee Myles Transmission,240 Whalley Avenue,New Haven,06511,New Haven,(203) 785-8011,OBD Plus,,leemylesnh@aol.com,vuosomotors@aol.com,John Vuoso - Sta Mgr," 6/15/22 - Nancy states they are having staffing issues getting Sat help and don’t know if they can continue to participate if Sat hours are going to be required, pavement in poor shape, lift in bay     ",,
Y,,10' x 10',,CT2100040,ST0004867,Foxy Fast Lube LLC,1605 West Main ST,Willimantic,06226,Windham,(860) 456-1395,Full Service,,mike@foxylube.com,,Miguel Parrilla,,,
y,,10',,CT2100156,ST0005000,Firestone - New Haven,680 Chapel Street,New Haven,06510,New Haven,(203) 787-1208,Full Service,,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Austin James - Sta Mgr,,,
Y,2/4/2026,10',,CT2100022,ST0005003,CarMax Auto Superstore Inc,89 Weston Street,Hartford,06120,Hartford,(860) 263-6812   automated,Full Service,,Javar_Goldburn@carmax.com,jack_murphy@carmax.com,Javar Goldburn - Sta Mgr,,,
Y,3/4/2026,12',,CT2100023,ST0005004,Modern Tire And Auto Service,867 Cromwell Avenue,Rocky Hill,06067,Hartford,(860) 760-9000,OBD Plus,,rockyhill@moderntirect.com,mtireinc@netscape.net,Frank Cammuso - Sta Mgr,,,
Y,,,,CT2100018,ST0005006,Economy Oil Change,315 Hartford Turnpike,Vernon,06066,Tolland,(860) 875-1222,Full Service,,8036@fsaretail.com,,Brian Harlow,"11/15/24 - complaint - refused to test without fail paperwork, went to Valvoline and tested no problem",,
Y - under served,2/9/2026,12',,CT2100239,ST0005016,Stillys Automotive LLC,117 S Burnham Hwy,Lisbon,06351,New London,(860) 376-1700,OBD Plus,,stillysauto@yahoo.com,,Scott Still - owner,,,
Y,2/5/2026,11',,CT2100044,ST0005018,Firestone - Plainville,459 Farmington Avenue,Plainville,06062,Hartford,(860) 793-4935,OBD Plus,R7269,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Austin Grounds - Sta Mgr,,,
Y,3/12/2026,,,CT2100207,ST0005020,Keating Automotive,2619 Whitney Avenue,Hamden,06518,New Haven,(203) 288-0111,OBD Plus,,billy@keatingautomotive.com,,Casey Muzio - Sta Mgr,"small parking area, side street had to be utilized",,
